iter	MultiClass
0	1.38615796
1	1.386024956
2	1.385889054
3	1.385774913
4	1.385662284
5	1.385551477
6	1.385459093
7	1.385339212
8	1.385230531
9	1.385099454
10	1.38503514
11	1.384939588
12	1.384822946
13	1.384727181
14	1.384646944
15	1.384582191
16	1.38452944
17	1.38442381
18	1.384369597
19	1.384291394
20	1.384225339
21	1.384155758
22	1.384094513
23	1.384024917
24	1.383930807
25	1.383879086
26	1.383837482
27	1.383790676
28	1.38374127
29	1.383640526
30	1.383586812
31	1.383534642
32	1.383497883
33	1.383469588
34	1.383368665
35	1.383304735
36	1.383264376
37	1.383213968
38	1.383155608
39	1.383104476
40	1.383067775
41	1.382997635
42	1.382947333
43	1.382889996
44	1.382842293
45	1.382819244
46	1.382763035
47	1.382716453
48	1.382656967
49	1.382623003
50	1.382561081
51	1.382537989
52	1.382506863
53	1.382471997
54	1.382443031
55	1.38238467
56	1.382332225
57	1.382265205
58	1.382214736
59	1.382164746
60	1.382105904
61	1.382080008
62	1.382041812
63	1.382018213
64	1.381972357
65	1.381937321
66	1.381900793
67	1.381871638
68	1.381816057
69	1.381781637
70	1.381755813
71	1.381722372
72	1.381679508
73	1.381625302
74	1.381585791
75	1.381546979
76	1.381522734
77	1.381493806
78	1.381475092
79	1.381423174
80	1.381403737
81	1.381364391
82	1.381342859
83	1.381297908
84	1.381258384
85	1.381221893
86	1.381201517
87	1.381175872
88	1.381158965
89	1.381129951
90	1.381105002
91	1.381088461
92	1.38104727
93	1.381016696
94	1.381005618
95	1.380966376
96	1.380923597
97	1.380904589
98	1.380840393
99	1.380794468
100	1.380759901
101	1.380738734
102	1.380720386
103	1.380674928
104	1.380627551
105	1.380586513
106	1.380574206
107	1.380542556
108	1.380517401
109	1.380508922
110	1.380460839
111	1.380422679
112	1.380396516
113	1.380353671
114	1.380307969
115	1.380280726
116	1.380273912
117	1.380250943
118	1.380243158
119	1.380219721
120	1.380183518
121	1.380146952
122	1.380117302
123	1.380084954
124	1.380070791
125	1.38003694
126	1.380008021
127	1.37999294
128	1.379951957
129	1.37992704
130	1.379898716
131	1.379873648
132	1.379845482
133	1.379831746
134	1.379808945
135	1.379765393
136	1.379726763
137	1.379720841
138	1.379696318
139	1.379681262
140	1.379668653
141	1.37962921
142	1.379603419
143	1.379585771
144	1.379562722
145	1.379550384
146	1.379517756
147	1.37948901
148	1.379459624
149	1.379432748
150	1.379410825
151	1.379367809
152	1.379335042
153	1.379309289
154	1.379286547
155	1.379261767
156	1.3792503
157	1.37923215
158	1.37919824
159	1.37916483
160	1.379132809
161	1.379078474
162	1.379055087
163	1.379041654
164	1.379002771
165	1.378969618
166	1.378912231
167	1.37885578
168	1.37883161
169	1.378787523
170	1.378752612
171	1.378740662
172	1.37871941
173	1.378668926
174	1.378650961
175	1.378632555
176	1.3785986
177	1.378566909
178	1.378535028
179	1.378494511
180	1.378471632
181	1.37845356
182	1.378409306
183	1.378394843
184	1.378361312
185	1.37834312
186	1.378315152
187	1.378273533
188	1.378237349
189	1.378196956
190	1.378149307
191	1.378085612
192	1.378061735
193	1.378029655
194	1.378021784
195	1.378001224
196	1.377959387
197	1.377924732
198	1.377894855
199	1.377855527
200	1.377820997
201	1.377804001
202	1.377756629
203	1.377729097
204	1.377703327
205	1.377683395
206	1.377660536
207	1.377619416
208	1.377579527
209	1.377560102
210	1.377524526
211	1.377454036
212	1.37738395
213	1.377321635
214	1.377316353
215	1.377290568
216	1.377240173
217	1.377193284
218	1.377117533
219	1.377049267
220	1.377019235
221	1.376961473
222	1.37691862
223	1.376855231
224	1.376817328
225	1.376734104
226	1.376678497
227	1.376625535
228	1.376569887
229	1.376535983
230	1.376456815
231	1.376392262
232	1.376330878
233	1.376292684
234	1.376270191
235	1.376207612
236	1.376168325
237	1.376126443
238	1.376061642
239	1.37604904
240	1.376003239
241	1.375957713
242	1.375933824
243	1.375866761
244	1.375818192
245	1.375769152
246	1.37568954
247	1.375642856
248	1.375560032
249	1.375507259
250	1.375465214
251	1.375383732
252	1.375342593
253	1.375266892
254	1.37523194
255	1.375151925
256	1.375116845
257	1.37506385
258	1.374971634
259	1.374883247
260	1.374776242
261	1.374691718
262	1.374645717
263	1.374586907
264	1.374541807
265	1.374495869
266	1.374425478
267	1.374346843
268	1.374298254
269	1.374228177
270	1.374183466
271	1.374128098
272	1.374061276
273	1.373975776
274	1.373935662
275	1.373907114
276	1.373822091
277	1.373747604
278	1.37370213
279	1.37365402
280	1.373613084
281	1.373559288
282	1.373513198
283	1.373468044
284	1.37337974
285	1.373314085
286	1.373273636
287	1.373230671
288	1.373169164
289	1.373146899
290	1.373064388
291	1.373012191
292	1.37294757
293	1.372917294
294	1.372872727
295	1.372837249
296	1.372790516
297	1.372755592
298	1.372709814
299	1.372661501
300	1.372607504
301	1.372577218
302	1.372510448
303	1.372460806
304	1.372411635
305	1.37238259
306	1.372347581
307	1.372314222
308	1.372268011
309	1.372232256
310	1.372167201
311	1.372108037
312	1.372057965
313	1.372001805
314	1.371967238
315	1.371930443
316	1.371860358
317	1.371831574
318	1.371777191
319	1.371734602
320	1.371698642
321	1.371669293
322	1.371579562
323	1.371531614
324	1.371453598
325	1.371414526
326	1.371346884
327	1.371324287
328	1.371253393
329	1.371192866
330	1.371113646
331	1.371083455
332	1.371035921
333	1.37101263
334	1.370979147
335	1.370947986
336	1.370919106
337	1.370875087
338	1.370847502
339	1.370804031
340	1.370733238
341	1.370709248
342	1.370646441
343	1.370613156
344	1.370558729
345	1.370509047
346	1.370471911
347	1.370423867
348	1.370346522
349	1.370285849
350	1.37024262
351	1.370152893
352	1.370120737
353	1.370086895
354	1.370062877
355	1.370004693
356	1.369986045
357	1.369947586
358	1.369932092
359	1.369900216
360	1.369823226
361	1.369787858
362	1.369747673
