iter	Passed	Remaining
0	8	6988
1	11	4482
2	14	3907
3	18	3590
4	21	3404
5	24	3280
6	28	3257
7	32	3227
8	36	3184
9	40	3169
10	43	3130
11	47	3123
12	51	3096
13	55	3089
14	58	3066
15	61	3027
16	62	2899
17	66	2882
18	69	2865
19	73	2852
20	76	2842
21	80	2835
22	83	2820
23	86	2808
24	90	2796
25	93	2798
26	97	2782
27	100	2774
28	104	2768
29	107	2757
30	110	2747
31	114	2736
32	117	2732
33	120	2723
34	125	2738
35	129	2739
36	132	2735
37	136	2729
38	139	2722
39	143	2720
40	146	2709
41	149	2700
42	153	2695
43	156	2689
44	159	2682
45	163	2672
46	166	2666
47	169	2662
48	173	2658
49	176	2653
50	180	2649
51	183	2642
52	187	2639
53	190	2634
54	194	2630
55	198	2631
56	201	2627
57	205	2624
58	209	2629
59	213	2633
60	217	2629
61	220	2622
62	224	2620
63	227	2621
64	231	2615
65	234	2609
66	238	2609
67	241	2602
68	245	2600
69	248	2596
70	252	2590
71	255	2584
72	258	2579
73	262	2577
74	265	2570
75	269	2563
76	272	2558
77	275	2554
78	279	2549
79	282	2543
80	285	2537
81	289	2535
82	292	2529
83	296	2524
84	299	2521
85	303	2519
86	306	2515
87	310	2509
88	313	2506
89	316	2500
90	320	2497
91	323	2492
92	327	2487
93	330	2482
94	334	2478
95	337	2473
96	340	2468
97	343	2462
98	347	2458
99	350	2455
100	354	2451
101	357	2447
102	361	2443
103	364	2440
104	368	2437
105	371	2433
106	375	2431
107	379	2428
108	382	2424
109	385	2418
110	391	2428
111	396	2436
112	401	2442
113	406	2447
114	411	2448
115	415	2447
116	418	2441
117	422	2439
118	425	2435
119	428	2430
120	432	2425
121	435	2420
122	438	2416
123	442	2411
124	445	2405
125	448	2400
126	451	2395
127	455	2390
128	458	2386
129	462	2382
130	465	2377
131	468	2373
132	472	2368
133	475	2363
134	478	2359
135	482	2355
136	486	2351
137	489	2348
138	493	2345
139	496	2341
140	500	2338
141	503	2334
142	507	2330
143	510	2325
144	513	2320
145	517	2316
146	520	2311
147	524	2308
148	528	2309
149	533	2311
150	546	2346
151	549	2342
152	553	2339
153	556	2333
154	559	2329
155	563	2325
156	566	2321
157	570	2318
158	574	2315
159	577	2311
160	581	2306
161	584	2303
162	588	2298
163	591	2295
164	595	2291
165	599	2288
166	602	2283
167	605	2278
168	609	2276
169	613	2272
170	616	2269
171	620	2264
172	623	2260
173	627	2255
174	630	2252
175	634	2248
176	637	2243
177	640	2239
178	644	2235
179	647	2230
180	651	2226
181	654	2222
182	657	2218
183	661	2214
184	664	2210
185	668	2205
186	671	2201
187	675	2197
188	678	2193
189	681	2189
190	685	2184
191	688	2181
192	692	2177
193	695	2172
194	699	2170
195	703	2166
196	706	2162
197	710	2159
198	713	2155
199	716	2150
200	720	2147
201	723	2142
202	726	2137
203	730	2133
204	733	2129
205	737	2125
206	740	2121
207	744	2117
208	747	2113
209	751	2110
210	754	2105
211	757	2101
212	761	2097
213	764	2092
214	767	2089
215	771	2084
216	774	2080
217	777	2076
218	781	2072
219	784	2068
220	788	2065
221	792	2062
222	795	2058
223	799	2054
224	802	2050
225	806	2047
226	809	2044
227	813	2041
228	817	2037
229	820	2033
230	823	2029
231	827	2025
232	830	2021
233	833	2017
234	837	2012
235	840	2008
236	843	2004
237	847	2000
238	850	1996
239	853	1992
240	857	1988
241	860	1984
242	864	1981
243	867	1977
244	871	1973
245	874	1968
246	877	1964
247	880	1960
248	884	1956
249	887	1952
250	891	1949
251	894	1945
252	898	1941
253	901	1938
254	904	1934
255	908	1929
256	911	1925
257	914	1921
258	918	1917
259	921	1913
260	924	1909
261	927	1905
262	931	1901
263	934	1897
264	938	1893
265	941	1889
266	944	1885
267	947	1881
268	951	1877
269	954	1873
270	957	1870
271	961	1867
272	965	1864
273	969	1861
274	973	1857
275	976	1854
276	980	1851
277	984	1847
278	987	1844
279	991	1841
280	995	1838
281	999	1836
282	1003	1832
283	1006	1829
284	1010	1826
285	1014	1822
286	1017	1818
287	1020	1814
288	1024	1811
289	1027	1807
290	1031	1803
291	1034	1799
292	1038	1796
293	1041	1792
294	1045	1789
295	1049	1786
296	1052	1783
297	1056	1779
298	1060	1776
299	1063	1772
300	1066	1768
301	1070	1764
302	1073	1761
303	1077	1757
304	1080	1754
305	1084	1750
306	1087	1746
307	1091	1743
308	1095	1740
309	1098	1736
310	1102	1733
311	1105	1729
312	1109	1725
313	1112	1722
314	1116	1719
315	1120	1716
316	1124	1713
317	1128	1710
318	1132	1706
319	1135	1703
320	1139	1699
321	1143	1697
322	1147	1695
323	1151	1692
324	1155	1688
325	1158	1684
326	1161	1680
327	1165	1677
328	1169	1673
329	1172	1669
330	1175	1665
331	1178	1661
332	1181	1657
333	1185	1653
334	1188	1649
335	1191	1645
336	1195	1642
337	1199	1638
338	1202	1635
339	1205	1631
340	1209	1628
341	1212	1624
342	1215	1620
343	1219	1616
344	1222	1612
345	1226	1608
346	1229	1604
347	1232	1600
348	1235	1596
349	1239	1593
350	1242	1588
351	1245	1585
352	1248	1581
353	1251	1576
354	1254	1572
355	1258	1569
356	1261	1565
357	1264	1561
358	1267	1557
359	1271	1554
360	1275	1550
361	1278	1546
362	1281	1542
363	1284	1538
364	1288	1535
365	1291	1531
366	1295	1528
367	1299	1525
368	1302	1521
369	1306	1517
370	1309	1513
371	1312	1509
372	1315	1506
373	1318	1502
374	1321	1498
375	1325	1494
376	1328	1490
377	1332	1487
378	1335	1483
379	1339	1480
380	1342	1476
381	1345	1472
382	1348	1468
383	1352	1464
384	1355	1460
385	1358	1457
386	1361	1453
387	1365	1449
388	1368	1445
389	1371	1442
390	1375	1438
391	1378	1434
392	1381	1431
393	1385	1427
394	1388	1423
395	1392	1420
396	1395	1416
397	1399	1413
398	1402	1409
399	1406	1406
400	1409	1402
401	1413	1399
402	1416	1395
403	1420	1392
404	1423	1388
405	1426	1384
406	1429	1380
407	1433	1377
408	1436	1373
409	1439	1369
410	1443	1365
411	1446	1361
412	1449	1358
413	1452	1354
414	1455	1350
415	1459	1346
416	1462	1343
417	1465	1339
418	1469	1335
419	1472	1331
420	1475	1328
421	1478	1324
422	1481	1320
423	1485	1316
424	1488	1313
425	1491	1309
426	1494	1305
427	1498	1302
428	1501	1298
429	1504	1294
430	1508	1291
431	1511	1287
432	1515	1284
433	1518	1280
434	1522	1277
435	1525	1273
436	1529	1270
437	1532	1266
438	1536	1263
439	1539	1259
440	1542	1256
441	1546	1252
442	1549	1248
443	1552	1244
444	1555	1241
445	1559	1237
446	1562	1233
447	1565	1230
448	1568	1226
449	1571	1222
450	1575	1218
451	1578	1215
452	1581	1211
453	1584	1207
454	1588	1204
455	1591	1200
456	1595	1197
457	1599	1194
458	1602	1190
459	1605	1186
460	1610	1183
461	1613	1180
462	1616	1176
463	1619	1173
464	1623	1169
465	1626	1166
466	1630	1162
467	1633	1158
468	1636	1155
469	1640	1151
470	1643	1148
471	1647	1144
472	1650	1141
473	1653	1137
474	1656	1133
475	1660	1130
476	1663	1126
477	1666	1122
478	1669	1119
479	1673	1115
480	1676	1112
481	1680	1108
482	1683	1104
483	1686	1101
484	1689	1097
485	1693	1094
486	1697	1090
487	1700	1087
488	1703	1083
489	1706	1079
490	1710	1076
491	1713	1072
492	1716	1068
493	1719	1065
494	1723	1061
495	1726	1058
496	1729	1054
497	1733	1051
498	1736	1047
499	1739	1043
500	1742	1040
501	1746	1036
502	1749	1033
503	1752	1029
504	1756	1025
505	1759	1022
506	1762	1018
507	1765	1015
508	1769	1011
509	1772	1007
510	1776	1004
511	1779	1000
512	1782	997
513	1786	994
514	1789	990
515	1792	986
516	1796	983
517	1799	979
518	1803	976
519	1806	972
520	1810	969
521	1813	965
522	1817	962
523	1820	958
524	1823	955
525	1826	951
526	1830	947
527	1833	944
528	1836	941
529	1840	937
530	1843	933
531	1846	930
532	1850	926
533	1853	923
534	1856	919
535	1859	916
536	1862	912
537	1866	908
538	1869	905
539	1872	901
540	1875	897
541	1878	894
542	1881	890
543	1886	887
544	1889	884
545	1893	880
546	1897	877
547	1900	873
548	1903	870
549	1907	866
550	1911	863
551	1914	860
552	1918	856
553	1921	853
554	1924	849
555	1928	846
556	1931	842
557	1934	839
558	1937	835
559	1941	831
560	1944	828
561	1947	824
562	1950	821
563	1954	817
564	1957	814
565	1960	810
566	1963	806
567	1966	803
568	1969	799
569	1973	796
570	1976	792
571	1979	789
572	1983	785
573	1986	782
574	1989	778
575	1992	775
576	1997	771
577	2000	768
578	2003	764
579	2007	761
580	2011	758
581	2014	754
582	2017	751
583	2021	747
584	2024	744
585	2027	740
586	2031	737
587	2034	733
588	2037	730
589	2041	726
590	2044	723
591	2048	719
592	2052	716
593	2055	712
594	2059	709
595	2062	705
596	2065	702
597	2069	698
598	2072	695
599	2075	691
600	2078	688
601	2082	684
602	2085	681
603	2088	677
604	2092	674
605	2095	670
606	2099	667
607	2102	663
608	2105	660
609	2109	656
610	2112	653
611	2115	649
612	2118	646
613	2121	642
614	2125	639
615	2128	635
616	2131	632
617	2134	628
618	2137	625
619	2140	621
620	2144	618
621	2147	614
622	2150	610
623	2153	607
624	2156	603
625	2160	600
626	2163	596
627	2166	593
628	2170	589
629	2173	586
630	2176	582
631	2180	579
632	2183	576
633	2186	572
634	2190	569
635	2193	565
636	2197	562
637	2200	558
638	2204	555
639	2207	551
640	2210	548
641	2214	544
642	2217	541
643	2220	537
644	2224	534
645	2227	531
646	2230	527
647	2233	524
648	2237	520
649	2240	517
650	2244	513
651	2247	510
652	2250	506
653	2253	503
654	2256	499
655	2259	496
656	2263	492
657	2266	489
658	2269	485
659	2272	482
660	2276	478
661	2279	475
662	2282	471
663	2285	468
664	2289	464
665	2292	461
666	2295	457
667	2299	454
668	2302	450
669	2305	447
670	2308	443
671	2311	440
672	2315	436
673	2318	433
674	2321	429
675	2324	426
676	2327	422
677	2331	419
678	2334	416
679	2338	412
680	2341	409
681	2344	405
682	2348	402
683	2351	398
684	2354	395
685	2357	391
686	2361	388
687	2364	384
688	2367	381
689	2370	377
690	2374	374
691	2377	371
692	2380	367
693	2384	364
694	2387	360
695	2391	357
696	2394	353
697	2397	350
698	2401	346
699	2404	343
700	2408	340
701	2411	336
702	2415	333
703	2418	329
704	2422	326
705	2425	322
706	2429	319
707	2432	316
708	2435	312
709	2438	309
710	2442	305
711	2445	302
712	2448	298
713	2451	295
714	2455	291
715	2458	288
716	2461	284
717	2464	281
718	2468	278
719	2471	274
720	2474	271
721	2477	267
722	2481	264
723	2484	260
724	2487	257
725	2491	253
726	2495	250
727	2499	247
728	2502	243
729	2506	240
730	2509	236
731	2512	233
732	2516	230
733	2519	226
734	2522	223
735	2526	219
736	2529	216
737	2532	212
738	2535	209
739	2538	205
740	2542	202
741	2545	198
742	2548	195
743	2551	192
744	2554	188
745	2557	185
746	2561	181
747	2564	178
748	2567	174
